icao;city_icao;country;country_code
YBEB;Bellburn (YBEB);Australia;AU
YBEC;Beacon (YBEC);Australia;AU
YBEE;Beverley (YBEE);Australia;AU
YBEF;Beaufort (YBEF);Australia;AU
YBEL;Bothwell (YBEL);Australia;AU
YBEO;Betoota (YBEO);Australia;AU
YBEU;Beulah 1 (YBEU);Australia;AU
YBEV;Beverley (YBEV);Australia;AU
YBEW;Beechworth (YBEW);Australia;AU
YBFR;Balfour (YBFR);Australia;AU
YBFT;Beaufort (YBFT);Australia;AU
YBGB;Beagle Bay (YBGB);Australia;AU
YBGD;Boolgeeda (YBGD);Australia;AU
YBGI;Balgair (YBGI);Australia;AU
YBGO;Balgo Hill (YBGO);Australia;AU
YBGR;Bridgewater (YBGR);Australia;AU
YBGT;Budgerygar (YBGT);Australia;AU
YBGY;Biniguy (YBGY);Australia;AU
YBHB;Bathurst Harbour (YBHB);Australia;AU
YBHI;Broken Hill (YBHI);Australia;AU
YBHK;Bushy Park (YBHK);Australia;AU
YBHM;Hamilton Island (YBHM);Australia;AU
YBIA;Bingara (YBIA);Australia;AU
YBID;Binda (YBID);Australia;AU
YBIE;Bedourie (YBIE);Australia;AU
YBIK;Bindook (YBIK);Australia;AU
YBIL;Billiluna (YBIL);Australia;AU
YBIN;Biggenden (YBIN);Australia;AU
YBIR;Birchip (YBIR);Australia;AU
YBIU;Ballidu (YBIU);Australia;AU
YBIZ;Lakefield National Park (YBIZ);Australia;AU
YBJW;Banjawarn (YBJW);Australia;AU
YBKE;Bourke (YBKE);Australia;AU
YBKS;Barkly Wayside Inn (YBKS);Australia;AU
YBKT;Burketown (YBKT);Australia;AU
YBLA;Benalla (YBLA);Australia;AU
YBLB;Billabong Road House (YBLB);Australia;AU
YBLC;Balcanoona (YBLC);Australia;AU
YBLD;Brooklands (YBLD);Australia;AU
YBLG;Bollards Lagoon (YBLG);Australia;AU
YBLH;Bellalie (YBLH);Australia;AU
YBLL;Bollon (YBLL);Australia;AU
YBLM;Blinman (YBLM);Australia;AU
YBLN;Busselton (YBLN);Australia;AU
YBLT;Ballarat (YBLT);Australia;AU
YBLU;Bellevue (YBLU);Australia;AU
YBMA;Mount Isa (YBMA);Australia;AU
YBMC;Maroochydore (YBMC);Australia;AU
YBMD;Bloomfield River (YBMD);Australia;AU
YBMI;Boomi (YBMI);Australia;AU
YBMK;Mackay (YBMK);Australia;AU
YBMM;Bamawm (YBMM);Australia;AU
YBMO;Bombala (YBMO);Australia;AU
YBMR;Barmera (YBMR);Australia;AU
YBMY;Bamyili (YBMY);Australia;AU
YBNA;Ballina (YBNA);Australia;AU
YBNC;Bannockburn (YBNC);Australia;AU
YBNM;Benmara (YBNM);Australia;AU
YBNS;Bairnsdale (YBNS);Australia;AU
YBNY;Brunchilly (YBNY);Australia;AU
YBOA;Boonah (YBOA);Australia;AU
YBOC;Booleroo Centre (YBOC);Australia;AU
YBOD;Bodalla (YBOD);Australia;AU
YBOG;Boggabri (YBOG);Australia;AU
YBOI;Boigu (YBOI);Australia;AU
YBOK;Oakey (YBOK);Australia;AU
YBOM;Bombala (YBOM);Australia;AU
YBOO;Catholic Agricultural College Bindoon Airstrip (YBOO);Australia;AU
YBOP;Boyup Brook (YBOP);Australia;AU
YBOR;Bordertown (YBOR);Australia;AU
YBOT;Boatman (YBOT);Australia;AU
YBOU;Boulia (YBOU);Australia;AU
YBOV;Border Village (YBOV);Australia;AU
YBOY;Booylgoo Springs (YBOY);Australia;AU
YBPI;Brampton Island (YBPI);Australia;AU
YBPN;Proserpine (YBPN);Australia;AU
YBRA;Benambra (YBRA);Australia;AU
YBRC;Barrow Creek (YBRC);Australia;AU
YBRJ;Burren Junction (YBRJ);Australia;AU
YBRK;Rockhampton (YBRK);Australia;AU
YBRL;Borroloola (YBRL);Australia;AU
YBRM;Broome (YBRM);Australia;AU
YBRN;Balranald (YBRN);Australia;AU
YBRO;Bruce Rock (YBRO);Australia;AU
YBRS;Barwon Heads (YBRS);Australia;AU
